,Question,Latency(s)
0,What is FlashAttention 2?,1.79
1,What is FlashAttention 2?,1.79
2,What is FlashAttention 2?,2.45
3,What is FlashAttention 2?,1.81
4,What is FlashAttention 2?,2.14
5,What is FlashAttention 2?,2.31
6,What is FlashAttention 2?,1.26
7,What is FlashAttention 2?,2.31
8,What is FlashAttention 2?,2.91
9,What is FlashAttention 2?,2.17
10,What is FlashAttention 2?,1.94
11,What is FlashAttention 2?,2.62
12,What is FlashAttention 2?,1.43
13,What is FlashAttention 2?,1.85
14,What is FlashAttention 2?,1.66
15,What is FlashAttention 2?,2.2
16,What is FlashAttention 2?,1.34
17,What is FlashAttention 2?,2.49
18,What is FlashAttention 2?,2.25
19,What is FlashAttention 2?,3.07
